NAME_FULL,CARTO_NAME,CARTONAME2,PARK_TYPE,SHAPE_AREA,SHAPE_LEN
Ildica Street Park,Ildica Street,Park,Local Park,22238.53353420000,677.62538981700
In-Ko-Pah Park,In-Ko-Pah,Park,Preserve,6930711.35828000028,10439.96307750000
Jess Martin Park,Jess Martin,Park,Local Park,367126.58998799999,3224.68554422000
Rios Baseball Park,Rios Baseball Park,,Sports Park,438481.47289300000,2682.46176339000
Robert Adams Park,Robert Adams,Park,Local Park-Improvement Funding Only,252942.31057599999,2095.79141425000
Sage Hill Preserve,Sage Hill,Preserve,Preserve,10082101.12270000018,20661.67690020000
San Elijo Lagoon Ecological Reserve,San Elijo Lagoon,Ecological Reserve,Ecological Reserve,42408060.80460000038,80104.39018560000
Santa Margarita Preserve,Santa Margarita,Preserve,Preserve,9203014.11879999936,16019.66054830000
Santa Ysabel East Preserve,Santa Ysabel East,Preserve,Preserve,167830784.38400000334,74038.73209170000
Santa Ysabel West Preserve,Santa Ysabel West,Preserve,Preserve,65449621.69609999657,50664.76401070000
Simon Preserve,Simon,Preserve,Preserve,26887086.09530000016,28896.84488380000
South Lane Park,South Lane,Park,Local Park,401878.63479899999,3214.45926610000
Spring Valley Park and Community Center,Spring Valley,Park and Community Center,Local Park & Community Center,266532.32642599999,2107.18172742000
Julian Pioneer Memorial Park,Julian Pioneer Memorial,Park,Historic Site,58748.60606110000,1123.49873658000
Knollwood Preserve (TET),Knollwood,Preserve (TET),Preserve,901145.94697000005,4104.24953095000
Lake Morena Park,Lake Morena,Park,Regional Park/Camping Park,138702121.18900001049,100154.49722000000
